,left_image_path,right_image_path,harris_neighbourhood_size,harris_keypoint_threshold,descriptor,patch_size,n_matches,matching_method,RANSAC_iterations,RANSAC_init_points,RANSAC_inlier_threshold,wandb,Sensitivity
0,images/leftImage.png,images/rightImage.png,2,0.01,pixel_neighbourhood,5,500,euclidean,1000,5,100,True,361.461470267513
0,images/leftImage.png,images/rightImage.png,2,0.05,pixel_neighbourhood,5,500,euclidean,1000,5,100,True,710.777026616007
0,images/leftImage.png,images/rightImage.png,2,0.1,pixel_neighbourhood,5,500,euclidean,1000,5,100,True,447.0967859069811
0,images/leftim.png,images/rightim.png,2,0.01,pixel_neighbourhood,5,500,euclidean,1000,5,100,True,1.524482438098831e-11
0,images/leftim.png,images/rightim.png,2,0.05,pixel_neighbourhood,5,500,euclidean,1000,5,100,True,183.4924180690179
0,images/leftim.png,images/rightim.png,2,0.1,pixel_neighbourhood,5,500,euclidean,1000,5,100,True,120.96706274277796
0,images/im1.jpg,images/im2.jpg,2,0.01,pixel_neighbourhood,5,500,euclidean,1000,5,100,True,713.0848328085003
0,images/im1.jpg,images/im2.jpg,2,0.05,pixel_neighbourhood,5,500,euclidean,1000,5,100,True,739.4005090684508
0,images/im1.jpg,images/im2.jpg,2,0.1,pixel_neighbourhood,5,500,euclidean,1000,5,100,True,799.7684142850228
0,images/leftImage.png,images/rightImage.png,2,0.01,pixel_neighbourhood,5,500,euclidean,1000,5,100,True,319.7582687285112
0,images/leftImage.png,images/rightImage.png,2,0.05,pixel_neighbourhood,5,500,euclidean,1000,5,100,True,762.9834852881525
0,images/leftImage.png,images/rightImage.png,2,0.1,pixel_neighbourhood,5,500,euclidean,1000,5,100,True,554.0651483171616
0,images/leftim.png,images/rightim.png,2,0.01,pixel_neighbourhood,5,500,euclidean,1000,5,100,True,1.1562574764475499e-11
0,images/leftim.png,images/rightim.png,2,0.05,pixel_neighbourhood,5,500,euclidean,1000,5,100,True,250.679000536634
0,images/leftim.png,images/rightim.png,2,0.1,pixel_neighbourhood,5,500,euclidean,1000,5,100,True,120.93597021483801
0,images/im1.jpg,images/im2.jpg,2,0.01,pixel_neighbourhood,5,500,euclidean,1000,5,100,True,720.8366446285918
0,images/im1.jpg,images/im2.jpg,2,0.05,pixel_neighbourhood,5,500,euclidean,1000,5,100,True,717.703019625462
0,images/im1.jpg,images/im2.jpg,2,0.1,pixel_neighbourhood,5,500,euclidean,1000,5,100,True,793.4647909250261
